,0,1,log
73,71,7.2,[]
74,,,"['unable to get the rating', 'unable to get the user rating']"
75,,,"['unable to get the rating', 'unable to get the user rating']"
76,,,"['unable to get the rating', 'unable to get the user rating']"
77,,tbd,['unable to get the rating']
78,,,"['unable to get the rating', 'unable to get the user rating']"
79,,,"['unable to get the rating', 'unable to get the user rating']"
80,,,"['unable to get the rating', 'unable to get the user rating']"
81,,,"['unable to get the rating', 'unable to get the user rating']"
82,,,"['unable to get the rating', 'unable to get the user rating']"
83,,,"['unable to get the rating', 'unable to get the user rating']"
84,,tbd,['unable to get the rating']
85,,,"['unable to get the rating', 'unable to get the user rating']"
86,,,"['unable to get the rating', 'unable to get the user rating']"
87,,,"['unable to get the rating', 'unable to get the user rating']"
88,,,"['unable to get the rating', 'unable to get the user rating']"
89,,,"['unable to get the rating', 'unable to get the user rating']"
90,,,"['unable to get the rating', 'unable to get the user rating']"
91,,,"['unable to get the rating', 'unable to get the user rating']"
92,92,8.8,[]
93,,,"['unable to get the rating', 'unable to get the user rating']"
94,,,"['unable to get the rating', 'unable to get the user rating']"
95,,,"['unable to get the rating', 'unable to get the user rating']"
96,,,"['unable to get the rating', 'unable to get the user rating']"
97,,,"['unable to get the rating', 'unable to get the user rating']"
98,,tbd,['unable to get the rating']
99,,,"['unable to get the rating', 'unable to get the user rating']"
100,,,"['unable to get the rating', 'unable to get the user rating']"
101,,,"['unable to get the rating', 'unable to get the user rating']"
102,,,"['unable to get the rating', 'unable to get the user rating']"
103,,,"['unable to get the rating', 'unable to get the user rating']"
104,,,"['unable to get the rating', 'unable to get the user rating']"
105,,,"['unable to get the rating', 'unable to get the user rating']"
106,,,"['unable to get the rating', 'unable to get the user rating']"
107,,,"['unable to get the rating', 'unable to get the user rating']"
108,,,"['unable to get the rating', 'unable to get the user rating']"
109,,,"['unable to get the rating', 'unable to get the user rating']"
110,,tbd,['unable to get the rating']
111,,,"['unable to get the rating', 'unable to get the user rating']"
112,,tbd,['unable to get the rating']
113,,,"['unable to get the rating', 'unable to get the user rating']"
114,,,"['unable to get the rating', 'unable to get the user rating']"
115,,,"['unable to get the rating', 'unable to get the user rating']"
116,,,"['unable to get the rating', 'unable to get the user rating']"
117,,,"['unable to get the rating', 'unable to get the user rating']"
118,,tbd,['unable to get the rating']
119,,,"['unable to get the rating', 'unable to get the user rating']"
120,,,"['unable to get the rating', 'unable to get the user rating']"
121,,,"['unable to get the rating', 'unable to get the user rating']"
122,74,tbd,[]
123,,,"['unable to get the rating', 'unable to get the user rating']"
124,,,"['unable to get the rating', 'unable to get the user rating']"
125,,tbd,['unable to get the rating']
126,,tbd,['unable to get the rating']
127,,,"['unable to get the rating', 'unable to get the user rating']"
128,,,"['unable to get the rating', 'unable to get the user rating']"
129,,,"['unable to get the rating', 'unable to get the user rating']"
130,,,"['unable to get the rating', 'unable to get the user rating']"
131,,,"['unable to get the rating', 'unable to get the user rating']"
132,,,"['unable to get the rating', 'unable to get the user rating']"
133,,,"['unable to get the rating', 'unable to get the user rating']"
134,,,"['unable to get the rating', 'unable to get the user rating']"
135,,tbd,['unable to get the rating']
136,,,"['unable to get the rating', 'unable to get the user rating']"
137,,,"['unable to get the rating', 'unable to get the user rating']"
138,,,"['unable to get the rating', 'unable to get the user rating']"
139,,,"['unable to get the rating', 'unable to get the user rating']"
140,,,"['unable to get the rating', 'unable to get the user rating']"
141,,tbd,['unable to get the rating']
142,,,"['unable to get the rating', 'unable to get the user rating']"
143,,,"['unable to get the rating', 'unable to get the user rating']"
144,,,"['unable to get the rating', 'unable to get the user rating']"
145,,,"['unable to get the rating', 'unable to get the user rating']"
146,,,"['unable to get the rating', 'unable to get the user rating']"
147,,,"['unable to get the rating', 'unable to get the user rating']"
148,,,"['unable to get the rating', 'unable to get the user rating']"
149,,,"['unable to get the rating', 'unable to get the user rating']"
150,,,"['unable to get the rating', 'unable to get the user rating']"
151,,,"['unable to get the rating', 'unable to get the user rating']"
152,,,"['unable to get the rating', 'unable to get the user rating']"
153,,,"['unable to get the rating', 'unable to get the user rating']"
154,,tbd,['unable to get the rating']
155,,,"['unable to get the rating', 'unable to get the user rating']"
156,,,"['unable to get the rating', 'unable to get the user rating']"
157,,,"['unable to get the rating', 'unable to get the user rating']"
158,,tbd,['unable to get the rating']
159,,,"['unable to get the rating', 'unable to get the user rating']"
160,,,"['unable to get the rating', 'unable to get the user rating']"
161,,,"['unable to get the rating', 'unable to get the user rating']"
162,,,"['unable to get the rating', 'unable to get the user rating']"
163,,,"['unable to get the rating', 'unable to get the user rating']"
164,,,"['unable to get the rating', 'unable to get the user rating']"
165,,,"['unable to get the rating', 'unable to get the user rating']"
166,,tbd,['unable to get the rating']
167,,,"['unable to get the rating', 'unable to get the user rating']"
168,,,"['unable to get the rating', 'unable to get the user rating']"
169,,,"['unable to get the rating', 'unable to get the user rating']"
170,,,"['unable to get the rating', 'unable to get the user rating']"
171,,,"['unable to get the rating', 'unable to get the user rating']"
172,,,"['unable to get the rating', 'unable to get the user rating']"
173,,,"['unable to get the rating', 'unable to get the user rating']"
174,,tbd,['unable to get the rating']
175,77,7.9,[]
176,,,"['unable to get the rating', 'unable to get the user rating']"
177,,,"['unable to get the rating', 'unable to get the user rating']"
178,,tbd,['unable to get the rating']
179,76,7.5,[]
180,,,"['unable to get the rating', 'unable to get the user rating']"
181,,,"['unable to get the rating', 'unable to get the user rating']"
182,,,"['unable to get the rating', 'unable to get the user rating']"
183,,,"['unable to get the rating', 'unable to get the user rating']"
184,,,"['unable to get the rating', 'unable to get the user rating']"
185,,,"['unable to get the rating', 'unable to get the user rating']"
186,,,"['unable to get the rating', 'unable to get the user rating']"
187,,,"['unable to get the rating', 'unable to get the user rating']"
188,,,"['unable to get the rating', 'unable to get the user rating']"
189,,tbd,['unable to get the rating']
190,,,"['unable to get the rating', 'unable to get the user rating']"
191,,tbd,['unable to get the rating']
192,,tbd,['unable to get the rating']
193,,,"['unable to get the rating', 'unable to get the user rating']"
194,,tbd,['unable to get the rating']
195,,,"['unable to get the rating', 'unable to get the user rating']"
196,,,"['unable to get the rating', 'unable to get the user rating']"
197,,,"['unable to get the rating', 'unable to get the user rating']"
198,,,"['unable to get the rating', 'unable to get the user rating']"
199,,,"['unable to get the rating', 'unable to get the user rating']"
200,,tbd,['unable to get the rating']
201,,,"['unable to get the rating', 'unable to get the user rating']"
202,,,"['unable to get the rating', 'unable to get the user rating']"
203,,,"['unable to get the rating', 'unable to get the user rating']"
204,,,"['unable to get the rating', 'unable to get the user rating']"
205,,,"['unable to get the rating', 'unable to get the user rating']"
206,,tbd,['unable to get the rating']
207,,,"['unable to get the rating', 'unable to get the user rating']"
208,,,"['unable to get the rating', 'unable to get the user rating']"
209,,,"['unable to get the rating', 'unable to get the user rating']"
210,,,"['unable to get the rating', 'unable to get the user rating']"
211,,,"['unable to get the rating', 'unable to get the user rating']"
212,,,"['unable to get the rating', 'unable to get the user rating']"
213,,,"['unable to get the rating', 'unable to get the user rating']"
214,,tbd,['unable to get the rating']
215,,,"['unable to get the rating', 'unable to get the user rating']"
216,,,"['unable to get the rating', 'unable to get the user rating']"
217,,,"['unable to get the rating', 'unable to get the user rating']"
218,,,"['unable to get the rating', 'unable to get the user rating']"
219,,,"['unable to get the rating', 'unable to get the user rating']"
220,,,"['unable to get the rating', 'unable to get the user rating']"
221,,,"['unable to get the rating', 'unable to get the user rating']"
222,,,"['unable to get the rating', 'unable to get the user rating']"
223,,,"['unable to get the rating', 'unable to get the user rating']"
224,,tbd,['unable to get the rating']
225,,,"['unable to get the rating', 'unable to get the user rating']"
226,,tbd,['unable to get the rating']
227,,tbd,['unable to get the rating']
228,,,"['unable to get the rating', 'unable to get the user rating']"
229,,tbd,['unable to get the rating']
230,,,"['unable to get the rating', 'unable to get the user rating']"
231,,,"['unable to get the rating', 'unable to get the user rating']"
232,,,"['unable to get the rating', 'unable to get the user rating']"
233,,,"['unable to get the rating', 'unable to get the user rating']"
234,,,"['unable to get the rating', 'unable to get the user rating']"
235,,,"['unable to get the rating', 'unable to get the user rating']"
236,,,"['unable to get the rating', 'unable to get the user rating']"
237,,,"['unable to get the rating', 'unable to get the user rating']"
238,,,"['unable to get the rating', 'unable to get the user rating']"
239,,,"['unable to get the rating', 'unable to get the user rating']"
240,,,"['unable to get the rating', 'unable to get the user rating']"
241,,,"['unable to get the rating', 'unable to get the user rating']"
242,,tbd,['unable to get the rating']
243,,tbd,['unable to get the rating']
244,,,"['unable to get the rating', 'unable to get the user rating']"
245,,tbd,['unable to get the rating']
246,,,"['unable to get the rating', 'unable to get the user rating']"
247,39,8.0,[]
248,,,"['unable to get the rating', 'unable to get the user rating']"
249,,,"['unable to get the rating', 'unable to get the user rating']"
250,,tbd,['unable to get the rating']
251,,,"['unable to get the rating', 'unable to get the user rating']"
252,,,"['unable to get the rating', 'unable to get the user rating']"
253,,,"['unable to get the rating', 'unable to get the user rating']"
254,,,"['unable to get the rating', 'unable to get the user rating']"
255,,,"['unable to get the rating', 'unable to get the user rating']"
256,,,"['unable to get the rating', 'unable to get the user rating']"
257,,,"['unable to get the rating', 'unable to get the user rating']"
258,,,"['unable to get the rating', 'unable to get the user rating']"
259,,,"['unable to get the rating', 'unable to get the user rating']"
260,,,"['unable to get the rating', 'unable to get the user rating']"
261,,,"['unable to get the rating', 'unable to get the user rating']"
262,,,"['unable to get the rating', 'unable to get the user rating']"
263,,,"['unable to get the rating', 'unable to get the user rating']"
264,,,"['unable to get the rating', 'unable to get the user rating']"
265,,tbd,['unable to get the rating']
266,,,"['unable to get the rating', 'unable to get the user rating']"
267,,,"['unable to get the rating', 'unable to get the user rating']"
268,,,"['unable to get the rating', 'unable to get the user rating']"
269,,,"['unable to get the rating', 'unable to get the user rating']"
270,,,"['unable to get the rating', 'unable to get the user rating']"
271,,,"['unable to get the rating', 'unable to get the user rating']"
272,,,"['unable to get the rating', 'unable to get the user rating']"
273,,,"['unable to get the rating', 'unable to get the user rating']"
274,,,"['unable to get the rating', 'unable to get the user rating']"
275,,,"['unable to get the rating', 'unable to get the user rating']"
276,,,"['unable to get the rating', 'unable to get the user rating']"
277,,,"['unable to get the rating', 'unable to get the user rating']"
278,,,"['unable to get the rating', 'unable to get the user rating']"
279,,,"['unable to get the rating', 'unable to get the user rating']"
280,,,"['unable to get the rating', 'unable to get the user rating']"
281,,,"['unable to get the rating', 'unable to get the user rating']"
282,,,"['unable to get the rating', 'unable to get the user rating']"
283,,,"['unable to get the rating', 'unable to get the user rating']"
284,,,"['unable to get the rating', 'unable to get the user rating']"
285,,,"['unable to get the rating', 'unable to get the user rating']"
286,,5.0,['unable to get the rating']
287,,,"['unable to get the rating', 'unable to get the user rating']"
288,,,"['unable to get the rating', 'unable to get the user rating']"
289,,,"['unable to get the rating', 'unable to get the user rating']"
290,,,"['unable to get the rating', 'unable to get the user rating']"
291,,,"['unable to get the rating', 'unable to get the user rating']"
292,,,"['unable to get the rating', 'unable to get the user rating']"
293,,,"['unable to get the rating', 'unable to get the user rating']"
294,,7.2,['unable to get the rating']
295,,,"['unable to get the rating', 'unable to get the user rating']"
296,,,"['unable to get the rating', 'unable to get the user rating']"
297,,,"['unable to get the rating', 'unable to get the user rating']"
298,,,"['unable to get the rating', 'unable to get the user rating']"
299,,,"['unable to get the rating', 'unable to get the user rating']"
300,,tbd,['unable to get the rating']
301,,,"['unable to get the rating', 'unable to get the user rating']"
302,,,"['unable to get the rating', 'unable to get the user rating']"
303,,,"['unable to get the rating', 'unable to get the user rating']"
304,,,"['unable to get the rating', 'unable to get the user rating']"
305,,,"['unable to get the rating', 'unable to get the user rating']"
306,,,"['unable to get the rating', 'unable to get the user rating']"
307,70,6.0,[]
308,,tbd,['unable to get the rating']
309,,,"['unable to get the rating', 'unable to get the user rating']"
310,,,"['unable to get the rating', 'unable to get the user rating']"
311,,,"['unable to get the rating', 'unable to get the user rating']"
312,,tbd,['unable to get the rating']
313,,,"['unable to get the rating', 'unable to get the user rating']"
314,,,"['unable to get the rating', 'unable to get the user rating']"
315,,,"['unable to get the rating', 'unable to get the user rating']"
316,,,"['unable to get the rating', 'unable to get the user rating']"
317,,,"['unable to get the rating', 'unable to get the user rating']"
318,,,"['unable to get the rating', 'unable to get the user rating']"
319,,tbd,['unable to get the rating']
320,,,"['unable to get the rating', 'unable to get the user rating']"
321,,,"['unable to get the rating', 'unable to get the user rating']"
322,,,"['unable to get the rating', 'unable to get the user rating']"
323,,,"['unable to get the rating', 'unable to get the user rating']"
324,,,"['unable to get the rating', 'unable to get the user rating']"
325,,,"['unable to get the rating', 'unable to get the user rating']"
326,,,"['unable to get the rating', 'unable to get the user rating']"
327,,,"['unable to get the rating', 'unable to get the user rating']"
328,,,"['unable to get the rating', 'unable to get the user rating']"
329,,,"['unable to get the rating', 'unable to get the user rating']"
330,,,"['unable to get the rating', 'unable to get the user rating']"
331,,,"['unable to get the rating', 'unable to get the user rating']"
332,,,"['unable to get the rating', 'unable to get the user rating']"
333,,,"['unable to get the rating', 'unable to get the user rating']"
334,,,"['unable to get the rating', 'unable to get the user rating']"
335,,,"['unable to get the rating', 'unable to get the user rating']"
336,,,"['unable to get the rating', 'unable to get the user rating']"
337,,,"['unable to get the rating', 'unable to get the user rating']"
338,,,"['unable to get the rating', 'unable to get the user rating']"
339,,,"['unable to get the rating', 'unable to get the user rating']"
340,,tbd,['unable to get the rating']
341,,,"['unable to get the rating', 'unable to get the user rating']"
342,,,"['unable to get the rating', 'unable to get the user rating']"
343,,,"['unable to get the rating', 'unable to get the user rating']"
344,,,"['unable to get the rating', 'unable to get the user rating']"
345,,,"['unable to get the rating', 'unable to get the user rating']"
346,,,"['unable to get the rating', 'unable to get the user rating']"
347,,,"['unable to get the rating', 'unable to get the user rating']"
348,,,"['unable to get the rating', 'unable to get the user rating']"
349,,,"['unable to get the rating', 'unable to get the user rating']"
350,,tbd,['unable to get the rating']
351,,,"['unable to get the rating', 'unable to get the user rating']"
352,,,"['unable to get the rating', 'unable to get the user rating']"
353,,,"['unable to get the rating', 'unable to get the user rating']"
354,,,"['unable to get the rating', 'unable to get the user rating']"
355,,,"['unable to get the rating', 'unable to get the user rating']"
356,,tbd,['unable to get the rating']
357,79,8.6,[]
358,,,"['unable to get the rating', 'unable to get the user rating']"
359,,tbd,['unable to get the rating']
360,,tbd,['unable to get the rating']
361,,,"['unable to get the rating', 'unable to get the user rating']"
362,,,"['unable to get the rating', 'unable to get the user rating']"
363,,tbd,['unable to get the rating']
364,,,"['unable to get the rating', 'unable to get the user rating']"
365,,,"['unable to get the rating', 'unable to get the user rating']"
366,,,"['unable to get the rating', 'unable to get the user rating']"
367,,,"['unable to get the rating', 'unable to get the user rating']"
368,,,"['unable to get the rating', 'unable to get the user rating']"
369,,,"['unable to get the rating', 'unable to get the user rating']"
370,,,"['unable to get the rating', 'unable to get the user rating']"
371,,,"['unable to get the rating', 'unable to get the user rating']"
372,,,"['unable to get the rating', 'unable to get the user rating']"
373,,,"['unable to get the rating', 'unable to get the user rating']"
374,,,"['unable to get the rating', 'unable to get the user rating']"
375,,,"['unable to get the rating', 'unable to get the user rating']"
376,,,"['unable to get the rating', 'unable to get the user rating']"
377,,tbd,['unable to get the rating']
378,,,"['unable to get the rating', 'unable to get the user rating']"
379,,,"['unable to get the rating', 'unable to get the user rating']"
380,,,"['unable to get the rating', 'unable to get the user rating']"
381,,,"['unable to get the rating', 'unable to get the user rating']"
382,,,"['unable to get the rating', 'unable to get the user rating']"
383,,,"['unable to get the rating', 'unable to get the user rating']"
384,,,"['unable to get the rating', 'unable to get the user rating']"
385,,,"['unable to get the rating', 'unable to get the user rating']"
386,,,"['unable to get the rating', 'unable to get the user rating']"
387,,,"['unable to get the rating', 'unable to get the user rating']"
388,,,"['unable to get the rating', 'unable to get the user rating']"
389,,,"['unable to get the rating', 'unable to get the user rating']"
390,,,"['unable to get the rating', 'unable to get the user rating']"
391,,,"['unable to get the rating', 'unable to get the user rating']"
392,,,"['unable to get the rating', 'unable to get the user rating']"
393,,,"['unable to get the rating', 'unable to get the user rating']"
394,,,"['unable to get the rating', 'unable to get the user rating']"
395,43,tbd,[]
396,,,"['unable to get the rating', 'unable to get the user rating']"
397,,tbd,['unable to get the rating']
398,,,"['unable to get the rating', 'unable to get the user rating']"
399,,,"['unable to get the rating', 'unable to get the user rating']"
400,,,"['unable to get the rating', 'unable to get the user rating']"
401,,,"['unable to get the rating', 'unable to get the user rating']"
402,,,"['unable to get the rating', 'unable to get the user rating']"
403,,,"['unable to get the rating', 'unable to get the user rating']"
404,,,"['unable to get the rating', 'unable to get the user rating']"
405,,,"['unable to get the rating', 'unable to get the user rating']"
406,,,"['unable to get the rating', 'unable to get the user rating']"
407,,,"['unable to get the rating', 'unable to get the user rating']"
408,,,"['unable to get the rating', 'unable to get the user rating']"
409,,,"['unable to get the rating', 'unable to get the user rating']"
410,,,"['unable to get the rating', 'unable to get the user rating']"
411,,tbd,['unable to get the rating']
412,,,"['unable to get the rating', 'unable to get the user rating']"
413,,,"['unable to get the rating', 'unable to get the user rating']"
414,,,"['unable to get the rating', 'unable to get the user rating']"
415,,,"['unable to get the rating', 'unable to get the user rating']"
416,,tbd,['unable to get the rating']
417,,tbd,['unable to get the rating']
418,,,"['unable to get the rating', 'unable to get the user rating']"
419,,,"['unable to get the rating', 'unable to get the user rating']"
420,,,"['unable to get the rating', 'unable to get the user rating']"
421,,,"['unable to get the rating', 'unable to get the user rating']"
422,75,tbd,[]
423,,,"['unable to get the rating', 'unable to get the user rating']"
424,,,"['unable to get the rating', 'unable to get the user rating']"
425,,tbd,['unable to get the rating']
426,,,"['unable to get the rating', 'unable to get the user rating']"
427,,,"['unable to get the rating', 'unable to get the user rating']"
428,,,"['unable to get the rating', 'unable to get the user rating']"
429,,tbd,['unable to get the rating']
430,,,"['unable to get the rating', 'unable to get the user rating']"
431,,,"['unable to get the rating', 'unable to get the user rating']"
432,,,"['unable to get the rating', 'unable to get the user rating']"
433,,,"['unable to get the rating', 'unable to get the user rating']"
434,,,"['unable to get the rating', 'unable to get the user rating']"
435,,,"['unable to get the rating', 'unable to get the user rating']"
436,,,"['unable to get the rating', 'unable to get the user rating']"
437,,,"['unable to get the rating', 'unable to get the user rating']"
438,,,"['unable to get the rating', 'unable to get the user rating']"
439,,,"['unable to get the rating', 'unable to get the user rating']"
440,,,"['unable to get the rating', 'unable to get the user rating']"
441,,,"['unable to get the rating', 'unable to get the user rating']"
442,,,"['unable to get the rating', 'unable to get the user rating']"
443,,,"['unable to get the rating', 'unable to get the user rating']"
444,,,"['unable to get the rating', 'unable to get the user rating']"
445,,,"['unable to get the rating', 'unable to get the user rating']"
446,,,"['unable to get the rating', 'unable to get the user rating']"
447,,tbd,['unable to get the rating']
448,,,"['unable to get the rating', 'unable to get the user rating']"
449,,,"['unable to get the rating', 'unable to get the user rating']"
450,,,"['unable to get the rating', 'unable to get the user rating']"
451,71,tbd,[]
452,,,"['unable to get the rating', 'unable to get the user rating']"
453,,,"['unable to get the rating', 'unable to get the user rating']"
454,,,"['unable to get the rating', 'unable to get the user rating']"
455,,,"['unable to get the rating', 'unable to get the user rating']"
456,,,"['unable to get the rating', 'unable to get the user rating']"
457,,,"['unable to get the rating', 'unable to get the user rating']"
458,,,"['unable to get the rating', 'unable to get the user rating']"
459,,,"['unable to get the rating', 'unable to get the user rating']"
460,,,"['unable to get the rating', 'unable to get the user rating']"
461,,,"['unable to get the rating', 'unable to get the user rating']"
462,,,"['unable to get the rating', 'unable to get the user rating']"
463,75,6.6,[]
464,89,7.5,[]
465,,,"['unable to get the rating', 'unable to get the user rating']"
466,,,"['unable to get the rating', 'unable to get the user rating']"
467,,,"['unable to get the rating', 'unable to get the user rating']"
468,,,"['unable to get the rating', 'unable to get the user rating']"
469,,,"['unable to get the rating', 'unable to get the user rating']"
470,,,"['unable to get the rating', 'unable to get the user rating']"
471,,,"['unable to get the rating', 'unable to get the user rating']"
472,,,"['unable to get the rating', 'unable to get the user rating']"
473,,,"['unable to get the rating', 'unable to get the user rating']"
474,,,"['unable to get the rating', 'unable to get the user rating']"
475,78,tbd,[]
476,,,"['unable to get the rating', 'unable to get the user rating']"
477,,,"['unable to get the rating', 'unable to get the user rating']"
478,,,"['unable to get the rating', 'unable to get the user rating']"
479,,,"['unable to get the rating', 'unable to get the user rating']"
480,,,"['unable to get the rating', 'unable to get the user rating']"
481,,,"['unable to get the rating', 'unable to get the user rating']"
482,,,"['unable to get the rating', 'unable to get the user rating']"
483,,,"['unable to get the rating', 'unable to get the user rating']"
484,,,"['unable to get the rating', 'unable to get the user rating']"
485,,,"['unable to get the rating', 'unable to get the user rating']"
486,,,"['unable to get the rating', 'unable to get the user rating']"
487,,,"['unable to get the rating', 'unable to get the user rating']"
488,,,"['unable to get the rating', 'unable to get the user rating']"
489,,tbd,['unable to get the rating']
490,,tbd,['unable to get the rating']
491,,,"['unable to get the rating', 'unable to get the user rating']"
492,,,"['unable to get the rating', 'unable to get the user rating']"
493,,,"['unable to get the rating', 'unable to get the user rating']"
494,,,"['unable to get the rating', 'unable to get the user rating']"
495,,,"['unable to get the rating', 'unable to get the user rating']"
496,,,"['unable to get the rating', 'unable to get the user rating']"
497,,,"['unable to get the rating', 'unable to get the user rating']"
498,,,"['unable to get the rating', 'unable to get the user rating']"
499,,,"['unable to get the rating', 'unable to get the user rating']"
500,,,"['unable to get the rating', 'unable to get the user rating']"
501,,tbd,['unable to get the rating']
502,,,"['unable to get the rating', 'unable to get the user rating']"
503,,tbd,['unable to get the rating']
504,,,"['unable to get the rating', 'unable to get the user rating']"
505,,tbd,['unable to get the rating']
506,,,"['unable to get the rating', 'unable to get the user rating']"
507,,,"['unable to get the rating', 'unable to get the user rating']"
508,,tbd,['unable to get the rating']
509,,,"['unable to get the rating', 'unable to get the user rating']"
510,,,"['unable to get the rating', 'unable to get the user rating']"
511,,1.7,['unable to get the rating']
512,,,"['unable to get the rating', 'unable to get the user rating']"
513,,,"['unable to get the rating', 'unable to get the user rating']"
514,,,"['unable to get the rating', 'unable to get the user rating']"
515,,,"['unable to get the rating', 'unable to get the user rating']"
516,,,"['unable to get the rating', 'unable to get the user rating']"
517,,,"['unable to get the rating', 'unable to get the user rating']"
518,,,"['unable to get the rating', 'unable to get the user rating']"
519,,6.3,['unable to get the rating']
520,,,"['unable to get the rating', 'unable to get the user rating']"
521,,,"['unable to get the rating', 'unable to get the user rating']"
522,,,"['unable to get the rating', 'unable to get the user rating']"
523,,,"['unable to get the rating', 'unable to get the user rating']"
524,,,"['unable to get the rating', 'unable to get the user rating']"
525,,,"['unable to get the rating', 'unable to get the user rating']"
526,,,"['unable to get the rating', 'unable to get the user rating']"
527,,,"['unable to get the rating', 'unable to get the user rating']"
528,,,"['unable to get the rating', 'unable to get the user rating']"
529,,,"['unable to get the rating', 'unable to get the user rating']"
530,,,"['unable to get the rating', 'unable to get the user rating']"
531,,tbd,['unable to get the rating']
532,,,"['unable to get the rating', 'unable to get the user rating']"
533,,,"['unable to get the rating', 'unable to get the user rating']"
534,,,"['unable to get the rating', 'unable to get the user rating']"
535,,,"['unable to get the rating', 'unable to get the user rating']"
536,,,"['unable to get the rating', 'unable to get the user rating']"
537,,,"['unable to get the rating', 'unable to get the user rating']"
538,,,"['unable to get the rating', 'unable to get the user rating']"
539,,,"['unable to get the rating', 'unable to get the user rating']"
540,,tbd,['unable to get the rating']
541,,,"['unable to get the rating', 'unable to get the user rating']"
542,69,8.3,[]
543,,,"['unable to get the rating', 'unable to get the user rating']"
544,,,"['unable to get the rating', 'unable to get the user rating']"
545,,,"['unable to get the rating', 'unable to get the user rating']"
546,,,"['unable to get the rating', 'unable to get the user rating']"
547,,,"['unable to get the rating', 'unable to get the user rating']"
548,,,"['unable to get the rating', 'unable to get the user rating']"
549,,,"['unable to get the rating', 'unable to get the user rating']"
550,,,"['unable to get the rating', 'unable to get the user rating']"
551,,,"['unable to get the rating', 'unable to get the user rating']"
552,,,"['unable to get the rating', 'unable to get the user rating']"
553,,,"['unable to get the rating', 'unable to get the user rating']"
