,0,1,log
82,7.8,8.3,[]
83,7.5,8.1,[]
84,8,7.6,[]
85,,,"['unable to get the rating', 'unable to get the user rating']"
86,NR,7.8,[]
87,,,"['unable to get the rating', 'unable to get the user rating']"
88,,,"['unable to get the rating', 'unable to get the user rating']"
89,,,"['unable to get the rating', 'unable to get the user rating']"
90,,,"['unable to get the rating', 'unable to get the user rating']"
91,,,"['unable to get the rating', 'unable to get the user rating']"
92,,,"['unable to get the rating', 'unable to get the user rating']"
93,,,"['unable to get the rating', 'unable to get the user rating']"
94,,,"['unable to get the rating', 'unable to get the user rating']"
95,,,"['unable to get the rating', 'unable to get the user rating']"
96,,,"['unable to get the rating', 'unable to get the user rating']"
97,,,"['unable to get the rating', 'unable to get the user rating']"
98,,,"['unable to get the rating', 'unable to get the user rating']"
99,NR,-,[]
100,NR,-,[]
101,NR,-,[]
102,NR,,['unable to get the user rating']
103,NR,7,[]
104,,,"['unable to get the rating', 'unable to get the user rating']"
105,NR,,['unable to get the user rating']
106,,,"['unable to get the rating', 'unable to get the user rating']"
107,NR,7.7,[]
108,,,"['unable to get the rating', 'unable to get the user rating']"
109,8,7.4,[]
110,,,"['unable to get the rating', 'unable to get the user rating']"
111,,,"['unable to get the rating', 'unable to get the user rating']"
112,,,"['unable to get the rating', 'unable to get the user rating']"
113,NR,2,[]
114,,,"['unable to get the rating', 'unable to get the user rating']"
115,NR,6.3,[]
116,NR,10,[]
117,,,"['unable to get the rating', 'unable to get the user rating']"
118,NR,,['unable to get the user rating']
119,NR,,['unable to get the user rating']
120,,,"['unable to get the rating', 'unable to get the user rating']"
121,,,"['unable to get the rating', 'unable to get the user rating']"
122,,,"['unable to get the rating', 'unable to get the user rating']"
123,,,"['unable to get the rating', 'unable to get the user rating']"
124,NR,-,[]
125,,,"['unable to get the rating', 'unable to get the user rating']"
126,NR,7.6,[]
127,,,"['unable to get the rating', 'unable to get the user rating']"
128,,,"['unable to get the rating', 'unable to get the user rating']"
129,4,2,[]
130,4,2,[]
131,,,"['unable to get the rating', 'unable to get the user rating']"
132,,,"['unable to get the rating', 'unable to get the user rating']"
133,,,"['unable to get the rating', 'unable to get the user rating']"
134,,,"['unable to get the rating', 'unable to get the user rating']"
135,,,"['unable to get the rating', 'unable to get the user rating']"
136,,,"['unable to get the rating', 'unable to get the user rating']"
137,,,"['unable to get the rating', 'unable to get the user rating']"
138,NR,,['unable to get the user rating']
139,6.6,6.4,[]
140,,,"['unable to get the rating', 'unable to get the user rating']"
141,,,"['unable to get the rating', 'unable to get the user rating']"
142,,,"['unable to get the rating', 'unable to get the user rating']"
143,,,"['unable to get the rating', 'unable to get the user rating']"
144,,,"['unable to get the rating', 'unable to get the user rating']"
145,,,"['unable to get the rating', 'unable to get the user rating']"
146,,,"['unable to get the rating', 'unable to get the user rating']"
147,,,"['unable to get the rating', 'unable to get the user rating']"
148,,,"['unable to get the rating', 'unable to get the user rating']"
149,,,"['unable to get the rating', 'unable to get the user rating']"
150,,,"['unable to get the rating', 'unable to get the user rating']"
151,,,"['unable to get the rating', 'unable to get the user rating']"
152,,,"['unable to get the rating', 'unable to get the user rating']"
153,,,"['unable to get the rating', 'unable to get the user rating']"
154,,,"['unable to get the rating', 'unable to get the user rating']"
155,,,"['unable to get the rating', 'unable to get the user rating']"
156,,,"['unable to get the rating', 'unable to get the user rating']"
157,,,"['unable to get the rating', 'unable to get the user rating']"
158,,,"['unable to get the rating', 'unable to get the user rating']"
159,,,"['unable to get the rating', 'unable to get the user rating']"
160,,,"['unable to get the rating', 'unable to get the user rating']"
161,,,"['unable to get the rating', 'unable to get the user rating']"
162,,,"['unable to get the rating', 'unable to get the user rating']"
163,,,"['unable to get the rating', 'unable to get the user rating']"
164,NR,-,[]
165,NR,-,[]
166,,,"['unable to get the rating', 'unable to get the user rating']"
167,,,"['unable to get the rating', 'unable to get the user rating']"
168,,,"['unable to get the rating', 'unable to get the user rating']"
169,6.5,7,[]
170,,,"['unable to get the rating', 'unable to get the user rating']"
171,,,"['unable to get the rating', 'unable to get the user rating']"
172,,,"['unable to get the rating', 'unable to get the user rating']"
173,,,"['unable to get the rating', 'unable to get the user rating']"
174,NR,-,[]
175,,,"['unable to get the rating', 'unable to get the user rating']"
176,NR,-,[]
177,NR,,['unable to get the user rating']
178,,,"['unable to get the rating', 'unable to get the user rating']"
179,,,"['unable to get the rating', 'unable to get the user rating']"
180,,,"['unable to get the rating', 'unable to get the user rating']"
181,,,"['unable to get the rating', 'unable to get the user rating']"
182,,,"['unable to get the rating', 'unable to get the user rating']"
183,,,"['unable to get the rating', 'unable to get the user rating']"
184,,,"['unable to get the rating', 'unable to get the user rating']"
185,NR,-,[]
186,,,"['unable to get the rating', 'unable to get the user rating']"
187,,,"['unable to get the rating', 'unable to get the user rating']"
188,,,"['unable to get the rating', 'unable to get the user rating']"
189,NR,-,[]
190,,,"['unable to get the rating', 'unable to get the user rating']"
191,,,"['unable to get the rating', 'unable to get the user rating']"
192,NR,-,[]
193,NR,7.4,[]
194,,,"['unable to get the rating', 'unable to get the user rating']"
195,,,"['unable to get the rating', 'unable to get the user rating']"
196,,,"['unable to get the rating', 'unable to get the user rating']"
197,,,"['unable to get the rating', 'unable to get the user rating']"
198,,,"['unable to get the rating', 'unable to get the user rating']"
199,,,"['unable to get the rating', 'unable to get the user rating']"
200,,,"['unable to get the rating', 'unable to get the user rating']"
201,,,"['unable to get the rating', 'unable to get the user rating']"
202,NR,10,[]
203,,,"['unable to get the rating', 'unable to get the user rating']"
204,,,"['unable to get the rating', 'unable to get the user rating']"
205,,,"['unable to get the rating', 'unable to get the user rating']"
206,,,"['unable to get the rating', 'unable to get the user rating']"
207,,,"['unable to get the rating', 'unable to get the user rating']"
208,,,"['unable to get the rating', 'unable to get the user rating']"
209,,,"['unable to get the rating', 'unable to get the user rating']"
210,,,"['unable to get the rating', 'unable to get the user rating']"
211,,,"['unable to get the rating', 'unable to get the user rating']"
212,,,"['unable to get the rating', 'unable to get the user rating']"
213,,,"['unable to get the rating', 'unable to get the user rating']"
214,,,"['unable to get the rating', 'unable to get the user rating']"
215,,,"['unable to get the rating', 'unable to get the user rating']"
216,,,"['unable to get the rating', 'unable to get the user rating']"
217,,,"['unable to get the rating', 'unable to get the user rating']"
218,,,"['unable to get the rating', 'unable to get the user rating']"
219,,,"['unable to get the rating', 'unable to get the user rating']"
220,,,"['unable to get the rating', 'unable to get the user rating']"
221,,,"['unable to get the rating', 'unable to get the user rating']"
222,,,"['unable to get the rating', 'unable to get the user rating']"
223,NR,9,[]
224,,,"['unable to get the rating', 'unable to get the user rating']"
225,,,"['unable to get the rating', 'unable to get the user rating']"
226,,,"['unable to get the rating', 'unable to get the user rating']"
227,,,"['unable to get the rating', 'unable to get the user rating']"
228,7.5,6,[]
229,6,6,[]
230,NR,7.5,[]
231,,,"['unable to get the rating', 'unable to get the user rating']"
232,,,"['unable to get the rating', 'unable to get the user rating']"
233,,,"['unable to get the rating', 'unable to get the user rating']"
234,,,"['unable to get the rating', 'unable to get the user rating']"
235,,,"['unable to get the rating', 'unable to get the user rating']"
236,,,"['unable to get the rating', 'unable to get the user rating']"
237,NR,8,[]
238,,,"['unable to get the rating', 'unable to get the user rating']"
239,,,"['unable to get the rating', 'unable to get the user rating']"
240,,,"['unable to get the rating', 'unable to get the user rating']"
241,NR,,['unable to get the user rating']
242,,,"['unable to get the rating', 'unable to get the user rating']"
243,,,"['unable to get the rating', 'unable to get the user rating']"
244,,,"['unable to get the rating', 'unable to get the user rating']"
245,,,"['unable to get the rating', 'unable to get the user rating']"
246,NR,-,[]
247,5,5,[]
248,NR,-,[]
249,,,"['unable to get the rating', 'unable to get the user rating']"
250,,,"['unable to get the rating', 'unable to get the user rating']"
251,,,"['unable to get the rating', 'unable to get the user rating']"
252,,,"['unable to get the rating', 'unable to get the user rating']"
253,NR,7,[]
254,,,"['unable to get the rating', 'unable to get the user rating']"
255,,,"['unable to get the rating', 'unable to get the user rating']"
256,NR,-,[]
257,,,"['unable to get the rating', 'unable to get the user rating']"
258,,,"['unable to get the rating', 'unable to get the user rating']"
259,,,"['unable to get the rating', 'unable to get the user rating']"
260,NR,7,[]
261,NR,7,[]
262,,,"['unable to get the rating', 'unable to get the user rating']"
263,,,"['unable to get the rating', 'unable to get the user rating']"
264,,,"['unable to get the rating', 'unable to get the user rating']"
265,,,"['unable to get the rating', 'unable to get the user rating']"
266,NR,,['unable to get the user rating']
267,NR,,['unable to get the user rating']
268,,,"['unable to get the rating', 'unable to get the user rating']"
269,NR,,['unable to get the user rating']
270,,,"['unable to get the rating', 'unable to get the user rating']"
271,,,"['unable to get the rating', 'unable to get the user rating']"
272,5,,['unable to get the user rating']
273,NR,8,[]
274,NR,,['unable to get the user rating']
275,8,7,[]
276,,,"['unable to get the rating', 'unable to get the user rating']"
277,,,"['unable to get the rating', 'unable to get the user rating']"
278,,,"['unable to get the rating', 'unable to get the user rating']"
279,,,"['unable to get the rating', 'unable to get the user rating']"
280,,,"['unable to get the rating', 'unable to get the user rating']"
281,,,"['unable to get the rating', 'unable to get the user rating']"
282,,,"['unable to get the rating', 'unable to get the user rating']"
283,,,"['unable to get the rating', 'unable to get the user rating']"
284,,,"['unable to get the rating', 'unable to get the user rating']"
285,,,"['unable to get the rating', 'unable to get the user rating']"
286,,,"['unable to get the rating', 'unable to get the user rating']"
287,,,"['unable to get the rating', 'unable to get the user rating']"
288,,,"['unable to get the rating', 'unable to get the user rating']"
289,,,"['unable to get the rating', 'unable to get the user rating']"
290,NR,-,[]
291,,,"['unable to get the rating', 'unable to get the user rating']"
292,NR,7,[]
293,,,"['unable to get the rating', 'unable to get the user rating']"
294,,,"['unable to get the rating', 'unable to get the user rating']"
295,,,"['unable to get the rating', 'unable to get the user rating']"
296,,,"['unable to get the rating', 'unable to get the user rating']"
297,,,"['unable to get the rating', 'unable to get the user rating']"
298,,,"['unable to get the rating', 'unable to get the user rating']"
299,,,"['unable to get the rating', 'unable to get the user rating']"
300,,,"['unable to get the rating', 'unable to get the user rating']"
301,,,"['unable to get the rating', 'unable to get the user rating']"
302,NR,-,[]
303,NR,,['unable to get the user rating']
304,,,"['unable to get the rating', 'unable to get the user rating']"
305,,,"['unable to get the rating', 'unable to get the user rating']"
306,,,"['unable to get the rating', 'unable to get the user rating']"
307,NR,,['unable to get the user rating']
308,,,"['unable to get the rating', 'unable to get the user rating']"
309,NR,-,[]
310,,,"['unable to get the rating', 'unable to get the user rating']"
311,,,"['unable to get the rating', 'unable to get the user rating']"
312,,,"['unable to get the rating', 'unable to get the user rating']"
313,NR,,['unable to get the user rating']
314,,,"['unable to get the rating', 'unable to get the user rating']"
315,,,"['unable to get the rating', 'unable to get the user rating']"
316,NR,,['unable to get the user rating']
317,,,"['unable to get the rating', 'unable to get the user rating']"
318,,,"['unable to get the rating', 'unable to get the user rating']"
319,,,"['unable to get the rating', 'unable to get the user rating']"
320,NR,-,[]
321,,,"['unable to get the rating', 'unable to get the user rating']"
322,,,"['unable to get the rating', 'unable to get the user rating']"
323,NR,7.3,[]
324,NR,8,[]
325,NR,9,[]
326,NR,-,[]
327,,,"['unable to get the rating', 'unable to get the user rating']"
328,NR,-,[]
329,,,"['unable to get the rating', 'unable to get the user rating']"
330,,,"['unable to get the rating', 'unable to get the user rating']"
331,8.7,-,[]
332,,,"['unable to get the rating', 'unable to get the user rating']"
333,,,"['unable to get the rating', 'unable to get the user rating']"
334,,,"['unable to get the rating', 'unable to get the user rating']"
335,,,"['unable to get the rating', 'unable to get the user rating']"
336,,,"['unable to get the rating', 'unable to get the user rating']"
337,,,"['unable to get the rating', 'unable to get the user rating']"
338,,,"['unable to get the rating', 'unable to get the user rating']"
339,,,"['unable to get the rating', 'unable to get the user rating']"
340,NR,,['unable to get the user rating']
341,8.8,8,[]
342,,,"['unable to get the rating', 'unable to get the user rating']"
343,,,"['unable to get the rating', 'unable to get the user rating']"
344,,,"['unable to get the rating', 'unable to get the user rating']"
345,NR,-,[]
346,,,"['unable to get the rating', 'unable to get the user rating']"
347,,,"['unable to get the rating', 'unable to get the user rating']"
348,,,"['unable to get the rating', 'unable to get the user rating']"
349,NR,-,[]
350,,,"['unable to get the rating', 'unable to get the user rating']"
351,,,"['unable to get the rating', 'unable to get the user rating']"
352,NR,,['unable to get the user rating']
353,5,6.3,[]
354,,,"['unable to get the rating', 'unable to get the user rating']"
355,,,"['unable to get the rating', 'unable to get the user rating']"
356,NR,-,[]
357,NR,-,[]
358,NR,-,[]
359,,,"['unable to get the rating', 'unable to get the user rating']"
360,NR,7.4,[]
361,NR,-,[]
362,NR,-,[]
363,,,"['unable to get the rating', 'unable to get the user rating']"
364,,,"['unable to get the rating', 'unable to get the user rating']"
365,NR,-,[]
366,,,"['unable to get the rating', 'unable to get the user rating']"
367,NR,7,[]
368,NR,-,[]
369,,,"['unable to get the rating', 'unable to get the user rating']"
370,,,"['unable to get the rating', 'unable to get the user rating']"
371,,,"['unable to get the rating', 'unable to get the user rating']"
372,,,"['unable to get the rating', 'unable to get the user rating']"
373,NR,-,[]
374,,,"['unable to get the rating', 'unable to get the user rating']"
375,,,"['unable to get the rating', 'unable to get the user rating']"
376,NR,-,[]
377,,,"['unable to get the rating', 'unable to get the user rating']"
378,,,"['unable to get the rating', 'unable to get the user rating']"
379,NR,7.4,[]
380,NR,-,[]
381,NR,-,[]
382,,,"['unable to get the rating', 'unable to get the user rating']"
383,,,"['unable to get the rating', 'unable to get the user rating']"
384,,,"['unable to get the rating', 'unable to get the user rating']"
385,,,"['unable to get the rating', 'unable to get the user rating']"
386,NR,,['unable to get the user rating']
387,,,"['unable to get the rating', 'unable to get the user rating']"
388,,,"['unable to get the rating', 'unable to get the user rating']"
389,,,"['unable to get the rating', 'unable to get the user rating']"
390,NR,-,[]
391,,,"['unable to get the rating', 'unable to get the user rating']"
392,NR,-,[]
393,,,"['unable to get the rating', 'unable to get the user rating']"
394,9,8.1,[]
395,,,"['unable to get the rating', 'unable to get the user rating']"
396,,,"['unable to get the rating', 'unable to get the user rating']"
397,9,,['unable to get the user rating']
398,NR,-,[]
399,NR,-,[]
400,NR,,['unable to get the user rating']
401,,,"['unable to get the rating', 'unable to get the user rating']"
402,,,"['unable to get the rating', 'unable to get the user rating']"
403,,,"['unable to get the rating', 'unable to get the user rating']"
404,,,"['unable to get the rating', 'unable to get the user rating']"
405,,,"['unable to get the rating', 'unable to get the user rating']"
406,NR,-,[]
407,NR,-,[]
408,NR,9,[]
409,,,"['unable to get the rating', 'unable to get the user rating']"
410,NR,,['unable to get the user rating']
411,NR,,['unable to get the user rating']
412,NR,,['unable to get the user rating']
413,,,"['unable to get the rating', 'unable to get the user rating']"
414,NR,-,[]
415,,,"['unable to get the rating', 'unable to get the user rating']"
416,,,"['unable to get the rating', 'unable to get the user rating']"
417,,,"['unable to get the rating', 'unable to get the user rating']"
418,NR,-,[]
419,NR,-,[]
420,,,"['unable to get the rating', 'unable to get the user rating']"
421,,,"['unable to get the rating', 'unable to get the user rating']"
422,NR,-,[]
423,NR,-,[]
424,,,"['unable to get the rating', 'unable to get the user rating']"
425,,,"['unable to get the rating', 'unable to get the user rating']"
426,,,"['unable to get the rating', 'unable to get the user rating']"
427,,,"['unable to get the rating', 'unable to get the user rating']"
428,,,"['unable to get the rating', 'unable to get the user rating']"
429,7,6.3,[]
430,7,6.3,[]
431,,,"['unable to get the rating', 'unable to get the user rating']"
432,,,"['unable to get the rating', 'unable to get the user rating']"
433,,,"['unable to get the rating', 'unable to get the user rating']"
434,,,"['unable to get the rating', 'unable to get the user rating']"
435,,,"['unable to get the rating', 'unable to get the user rating']"
436,,,"['unable to get the rating', 'unable to get the user rating']"
437,,,"['unable to get the rating', 'unable to get the user rating']"
438,,,"['unable to get the rating', 'unable to get the user rating']"
439,,,"['unable to get the rating', 'unable to get the user rating']"
440,,,"['unable to get the rating', 'unable to get the user rating']"
441,,,"['unable to get the rating', 'unable to get the user rating']"
442,,,"['unable to get the rating', 'unable to get the user rating']"
443,,,"['unable to get the rating', 'unable to get the user rating']"
444,,,"['unable to get the rating', 'unable to get the user rating']"
445,,,"['unable to get the rating', 'unable to get the user rating']"
446,,,"['unable to get the rating', 'unable to get the user rating']"
447,,,"['unable to get the rating', 'unable to get the user rating']"
448,,,"['unable to get the rating', 'unable to get the user rating']"
449,NR,,['unable to get the user rating']
450,,,"['unable to get the rating', 'unable to get the user rating']"
451,,,"['unable to get the rating', 'unable to get the user rating']"
452,,,"['unable to get the rating', 'unable to get the user rating']"
453,,,"['unable to get the rating', 'unable to get the user rating']"
454,7.5,6.3,[]
455,,,"['unable to get the rating', 'unable to get the user rating']"
456,NR,-,[]
457,NR,-,[]
458,,,"['unable to get the rating', 'unable to get the user rating']"
459,,,"['unable to get the rating', 'unable to get the user rating']"
460,,,"['unable to get the rating', 'unable to get the user rating']"
461,,,"['unable to get the rating', 'unable to get the user rating']"
462,,,"['unable to get the rating', 'unable to get the user rating']"
463,,,"['unable to get the rating', 'unable to get the user rating']"
464,,,"['unable to get the rating', 'unable to get the user rating']"
465,,,"['unable to get the rating', 'unable to get the user rating']"
466,,,"['unable to get the rating', 'unable to get the user rating']"
467,,,"['unable to get the rating', 'unable to get the user rating']"
468,,,"['unable to get the rating', 'unable to get the user rating']"
469,,,"['unable to get the rating', 'unable to get the user rating']"
470,,,"['unable to get the rating', 'unable to get the user rating']"
471,NR,,['unable to get the user rating']
472,,,"['unable to get the rating', 'unable to get the user rating']"
473,NR,-,[]
474,,,"['unable to get the rating', 'unable to get the user rating']"
475,,,"['unable to get the rating', 'unable to get the user rating']"
476,,,"['unable to get the rating', 'unable to get the user rating']"
477,,,"['unable to get the rating', 'unable to get the user rating']"
478,7,6.7,[]
479,,,"['unable to get the rating', 'unable to get the user rating']"
480,,,"['unable to get the rating', 'unable to get the user rating']"
481,,,"['unable to get the rating', 'unable to get the user rating']"
482,,,"['unable to get the rating', 'unable to get the user rating']"
483,,,"['unable to get the rating', 'unable to get the user rating']"
484,NR,-,[]
485,,,"['unable to get the rating', 'unable to get the user rating']"
486,NR,8.5,[]
487,,,"['unable to get the rating', 'unable to get the user rating']"
488,,,"['unable to get the rating', 'unable to get the user rating']"
489,,,"['unable to get the rating', 'unable to get the user rating']"
490,,,"['unable to get the rating', 'unable to get the user rating']"
491,,,"['unable to get the rating', 'unable to get the user rating']"
492,,,"['unable to get the rating', 'unable to get the user rating']"
493,,,"['unable to get the rating', 'unable to get the user rating']"
494,,,"['unable to get the rating', 'unable to get the user rating']"
495,NR,,['unable to get the user rating']
496,,,"['unable to get the rating', 'unable to get the user rating']"
497,,,"['unable to get the rating', 'unable to get the user rating']"
498,,,"['unable to get the rating', 'unable to get the user rating']"
499,NR,-,[]
500,,,"['unable to get the rating', 'unable to get the user rating']"
501,,,"['unable to get the rating', 'unable to get the user rating']"
502,,,"['unable to get the rating', 'unable to get the user rating']"
503,,,"['unable to get the rating', 'unable to get the user rating']"
504,,,"['unable to get the rating', 'unable to get the user rating']"
505,,,"['unable to get the rating', 'unable to get the user rating']"
506,,,"['unable to get the rating', 'unable to get the user rating']"
507,NR,8,[]
508,,,"['unable to get the rating', 'unable to get the user rating']"
509,,,"['unable to get the rating', 'unable to get the user rating']"
510,,,"['unable to get the rating', 'unable to get the user rating']"
511,NR,6.3,[]
512,,,"['unable to get the rating', 'unable to get the user rating']"
513,NR,-,[]
514,NR,,['unable to get the user rating']
515,,,"['unable to get the rating', 'unable to get the user rating']"
516,,,"['unable to get the rating', 'unable to get the user rating']"
517,,,"['unable to get the rating', 'unable to get the user rating']"
518,,,"['unable to get the rating', 'unable to get the user rating']"
519,,,"['unable to get the rating', 'unable to get the user rating']"
520,,,"['unable to get the rating', 'unable to get the user rating']"
521,NR,,['unable to get the user rating']
522,NR,7.3,[]
523,,,"['unable to get the rating', 'unable to get the user rating']"
524,NR,,['unable to get the user rating']
525,NR,,['unable to get the user rating']
526,NR,,['unable to get the user rating']
527,,,"['unable to get the rating', 'unable to get the user rating']"
528,NR,6,[]
529,NR,5.7,[]
530,,,"['unable to get the rating', 'unable to get the user rating']"
531,NR,7.7,[]
532,,,"['unable to get the rating', 'unable to get the user rating']"
533,NR,7,[]
534,,,"['unable to get the rating', 'unable to get the user rating']"
535,NR,8.7,[]
536,NR,8.7,[]
537,NR,,['unable to get the user rating']
538,NR,,['unable to get the user rating']
539,NR,8.3,[]
540,,,"['unable to get the rating', 'unable to get the user rating']"
541,,,"['unable to get the rating', 'unable to get the user rating']"
542,,,"['unable to get the rating', 'unable to get the user rating']"
543,,,"['unable to get the rating', 'unable to get the user rating']"
544,NR,7,[]
545,,,"['unable to get the rating', 'unable to get the user rating']"
546,,,"['unable to get the rating', 'unable to get the user rating']"
547,6.5,7.3,[]
548,,,"['unable to get the rating', 'unable to get the user rating']"
549,,,"['unable to get the rating', 'unable to get the user rating']"
550,NR,-,[]
551,,,"['unable to get the rating', 'unable to get the user rating']"
552,,,"['unable to get the rating', 'unable to get the user rating']"
553,,,"['unable to get the rating', 'unable to get the user rating']"
554,,,"['unable to get the rating', 'unable to get the user rating']"
555,,,"['unable to get the rating', 'unable to get the user rating']"
556,,,"['unable to get the rating', 'unable to get the user rating']"
557,,,"['unable to get the rating', 'unable to get the user rating']"
558,NR,,['unable to get the user rating']
559,,,"['unable to get the rating', 'unable to get the user rating']"
560,,,"['unable to get the rating', 'unable to get the user rating']"
561,,,"['unable to get the rating', 'unable to get the user rating']"
562,NR,,['unable to get the user rating']
563,,,"['unable to get the rating', 'unable to get the user rating']"
564,NR,7,[]
565,NR,7,[]
566,7.4,7,[]
567,4.5,7,[]
568,NR,,['unable to get the user rating']
569,,,"['unable to get the rating', 'unable to get the user rating']"
570,,,"['unable to get the rating', 'unable to get the user rating']"
571,,,"['unable to get the rating', 'unable to get the user rating']"
572,NR,-,[]
573,,,"['unable to get the rating', 'unable to get the user rating']"
574,,,"['unable to get the rating', 'unable to get the user rating']"
575,,,"['unable to get the rating', 'unable to get the user rating']"
576,5,6.2,[]
577,NR,8,[]
578,NR,6,[]
579,NR,-,[]
580,,,"['unable to get the rating', 'unable to get the user rating']"
581,,,"['unable to get the rating', 'unable to get the user rating']"
582,NR,3,[]
583,NR,-,[]
584,,,"['unable to get the rating', 'unable to get the user rating']"
585,,,"['unable to get the rating', 'unable to get the user rating']"
586,,,"['unable to get the rating', 'unable to get the user rating']"
587,NR,-,[]
588,NR,7,[]
589,,,"['unable to get the rating', 'unable to get the user rating']"
590,,,"['unable to get the rating', 'unable to get the user rating']"
591,NR,,['unable to get the user rating']
592,,,"['unable to get the rating', 'unable to get the user rating']"
593,NR,-,[]
594,7.4,-,[]
595,NR,-,[]
596,NR,-,[]
597,,,"['unable to get the rating', 'unable to get the user rating']"
598,7.5,7.8,[]
599,NR,,['unable to get the user rating']
600,,,"['unable to get the rating', 'unable to get the user rating']"
601,NR,-,[]
602,,,"['unable to get the rating', 'unable to get the user rating']"
603,,,"['unable to get the rating', 'unable to get the user rating']"
604,,,"['unable to get the rating', 'unable to get the user rating']"
605,,,"['unable to get the rating', 'unable to get the user rating']"
606,NR,3,[]
607,,,"['unable to get the rating', 'unable to get the user rating']"
608,,,"['unable to get the rating', 'unable to get the user rating']"
609,,,"['unable to get the rating', 'unable to get the user rating']"
610,,,"['unable to get the rating', 'unable to get the user rating']"
611,NR,8.8,[]
612,8.5,7.5,[]
613,,,"['unable to get the rating', 'unable to get the user rating']"
614,9.5,9.1,[]
615,,,"['unable to get the rating', 'unable to get the user rating']"
616,,,"['unable to get the rating', 'unable to get the user rating']"
617,,,"['unable to get the rating', 'unable to get the user rating']"
618,,,"['unable to get the rating', 'unable to get the user rating']"
619,,,"['unable to get the rating', 'unable to get the user rating']"
620,,,"['unable to get the rating', 'unable to get the user rating']"
621,NR,-,[]
622,NR,,['unable to get the user rating']
623,NR,,['unable to get the user rating']
624,,,"['unable to get the rating', 'unable to get the user rating']"
625,NR,6.7,[]
626,NR,,['unable to get the user rating']
627,,,"['unable to get the rating', 'unable to get the user rating']"
