,0,1,log
83,,,"['unable to get the rating', 'unable to get the user rating']"
84,,,"['unable to get the rating', 'unable to get the user rating']"
85,,,"['unable to get the rating', 'unable to get the user rating']"
86,1.5,-,[]
87,,,"['unable to get the rating', 'unable to get the user rating']"
88,,,"['unable to get the rating', 'unable to get the user rating']"
89,,,"['unable to get the rating', 'unable to get the user rating']"
90,NR,-,[]
91,6.5,,['unable to get the user rating']
92,NR,-,[]
93,NR,-,[]
94,,,"['unable to get the rating', 'unable to get the user rating']"
95,,,"['unable to get the rating', 'unable to get the user rating']"
96,NR,,['unable to get the user rating']
97,NR,-,[]
98,,,"['unable to get the rating', 'unable to get the user rating']"
99,5.5,-,[]
100,,,"['unable to get the rating', 'unable to get the user rating']"
101,NR,-,[]
102,,,"['unable to get the rating', 'unable to get the user rating']"
103,,,"['unable to get the rating', 'unable to get the user rating']"
104,7.5,7,[]
105,NR,7,[]
106,,,"['unable to get the rating', 'unable to get the user rating']"
107,NR,7,[]
108,NR,-,[]
109,NR,-,[]
110,NR,-,[]
111,,,"['unable to get the rating', 'unable to get the user rating']"
112,,,"['unable to get the rating', 'unable to get the user rating']"
113,7,6.8,[]
114,7.5,7,[]
115,,,"['unable to get the rating', 'unable to get the user rating']"
116,,,"['unable to get the rating', 'unable to get the user rating']"
117,6,-,[]
118,,,"['unable to get the rating', 'unable to get the user rating']"
119,NR,-,[]
120,,,"['unable to get the rating', 'unable to get the user rating']"
121,,,"['unable to get the rating', 'unable to get the user rating']"
122,,,"['unable to get the rating', 'unable to get the user rating']"
123,,,"['unable to get the rating', 'unable to get the user rating']"
124,NR,-,[]
125,,,"['unable to get the rating', 'unable to get the user rating']"
126,,,"['unable to get the rating', 'unable to get the user rating']"
127,NR,,['unable to get the user rating']
128,NR,7,[]
129,NR,,['unable to get the user rating']
130,7,-,[]
131,NR,,['unable to get the user rating']
132,,,"['unable to get the rating', 'unable to get the user rating']"
133,NR,,['unable to get the user rating']
134,,,"['unable to get the rating', 'unable to get the user rating']"
135,,,"['unable to get the rating', 'unable to get the user rating']"
136,,,"['unable to get the rating', 'unable to get the user rating']"
137,,,"['unable to get the rating', 'unable to get the user rating']"
138,8,-,[]
139,,,"['unable to get the rating', 'unable to get the user rating']"
140,,,"['unable to get the rating', 'unable to get the user rating']"
141,,,"['unable to get the rating', 'unable to get the user rating']"
142,,,"['unable to get the rating', 'unable to get the user rating']"
143,7.5,,['unable to get the user rating']
144,,,"['unable to get the rating', 'unable to get the user rating']"
145,,,"['unable to get the rating', 'unable to get the user rating']"
146,7,7,[]
147,,,"['unable to get the rating', 'unable to get the user rating']"
148,,,"['unable to get the rating', 'unable to get the user rating']"
149,,,"['unable to get the rating', 'unable to get the user rating']"
150,,,"['unable to get the rating', 'unable to get the user rating']"
151,,,"['unable to get the rating', 'unable to get the user rating']"
152,,,"['unable to get the rating', 'unable to get the user rating']"
153,NR,-,[]
154,,,"['unable to get the rating', 'unable to get the user rating']"
155,,,"['unable to get the rating', 'unable to get the user rating']"
156,NR,,['unable to get the user rating']
157,,,"['unable to get the rating', 'unable to get the user rating']"
158,NR,,['unable to get the user rating']
159,NR,-,[]
160,,,"['unable to get the rating', 'unable to get the user rating']"
161,,,"['unable to get the rating', 'unable to get the user rating']"
162,,,"['unable to get the rating', 'unable to get the user rating']"
163,,,"['unable to get the rating', 'unable to get the user rating']"
164,,,"['unable to get the rating', 'unable to get the user rating']"
165,,,"['unable to get the rating', 'unable to get the user rating']"
166,,,"['unable to get the rating', 'unable to get the user rating']"
167,,,"['unable to get the rating', 'unable to get the user rating']"
168,,,"['unable to get the rating', 'unable to get the user rating']"
169,,,"['unable to get the rating', 'unable to get the user rating']"
170,,,"['unable to get the rating', 'unable to get the user rating']"
171,,,"['unable to get the rating', 'unable to get the user rating']"
172,,,"['unable to get the rating', 'unable to get the user rating']"
173,,,"['unable to get the rating', 'unable to get the user rating']"
174,NR,,['unable to get the user rating']
175,,,"['unable to get the rating', 'unable to get the user rating']"
176,,,"['unable to get the rating', 'unable to get the user rating']"
177,,,"['unable to get the rating', 'unable to get the user rating']"
178,,,"['unable to get the rating', 'unable to get the user rating']"
179,,,"['unable to get the rating', 'unable to get the user rating']"
180,NR,-,[]
181,,,"['unable to get the rating', 'unable to get the user rating']"
182,,,"['unable to get the rating', 'unable to get the user rating']"
183,,,"['unable to get the rating', 'unable to get the user rating']"
184,,,"['unable to get the rating', 'unable to get the user rating']"
185,,,"['unable to get the rating', 'unable to get the user rating']"
186,NR,-,[]
187,,,"['unable to get the rating', 'unable to get the user rating']"
188,,,"['unable to get the rating', 'unable to get the user rating']"
189,,,"['unable to get the rating', 'unable to get the user rating']"
190,,,"['unable to get the rating', 'unable to get the user rating']"
191,NR,-,[]
192,,,"['unable to get the rating', 'unable to get the user rating']"
193,,,"['unable to get the rating', 'unable to get the user rating']"
194,,,"['unable to get the rating', 'unable to get the user rating']"
195,,,"['unable to get the rating', 'unable to get the user rating']"
196,,,"['unable to get the rating', 'unable to get the user rating']"
197,,,"['unable to get the rating', 'unable to get the user rating']"
198,6,-,[]
199,,,"['unable to get the rating', 'unable to get the user rating']"
200,,,"['unable to get the rating', 'unable to get the user rating']"
201,,,"['unable to get the rating', 'unable to get the user rating']"
202,,,"['unable to get the rating', 'unable to get the user rating']"
203,,,"['unable to get the rating', 'unable to get the user rating']"
204,,,"['unable to get the rating', 'unable to get the user rating']"
205,,,"['unable to get the rating', 'unable to get the user rating']"
206,7,4,[]
207,,,"['unable to get the rating', 'unable to get the user rating']"
208,NR,1,[]
209,,,"['unable to get the rating', 'unable to get the user rating']"
210,,,"['unable to get the rating', 'unable to get the user rating']"
211,,,"['unable to get the rating', 'unable to get the user rating']"
212,,,"['unable to get the rating', 'unable to get the user rating']"
213,NR,,['unable to get the user rating']
214,,,"['unable to get the rating', 'unable to get the user rating']"
215,,,"['unable to get the rating', 'unable to get the user rating']"
216,,,"['unable to get the rating', 'unable to get the user rating']"
217,,,"['unable to get the rating', 'unable to get the user rating']"
218,,,"['unable to get the rating', 'unable to get the user rating']"
219,NR,-,[]
220,,,"['unable to get the rating', 'unable to get the user rating']"
221,,,"['unable to get the rating', 'unable to get the user rating']"
222,3,-,[]
223,,,"['unable to get the rating', 'unable to get the user rating']"
224,,,"['unable to get the rating', 'unable to get the user rating']"
225,,,"['unable to get the rating', 'unable to get the user rating']"
226,,,"['unable to get the rating', 'unable to get the user rating']"
227,,,"['unable to get the rating', 'unable to get the user rating']"
228,,,"['unable to get the rating', 'unable to get the user rating']"
229,,,"['unable to get the rating', 'unable to get the user rating']"
230,NR,,['unable to get the user rating']
231,NR,-,[]
232,,,"['unable to get the rating', 'unable to get the user rating']"
233,,,"['unable to get the rating', 'unable to get the user rating']"
234,,,"['unable to get the rating', 'unable to get the user rating']"
235,5,-,[]
236,NR,-,[]
237,,,"['unable to get the rating', 'unable to get the user rating']"
238,,,"['unable to get the rating', 'unable to get the user rating']"
239,,,"['unable to get the rating', 'unable to get the user rating']"
240,NR,-,[]
241,,,"['unable to get the rating', 'unable to get the user rating']"
242,,,"['unable to get the rating', 'unable to get the user rating']"
243,,,"['unable to get the rating', 'unable to get the user rating']"
244,,,"['unable to get the rating', 'unable to get the user rating']"
245,,,"['unable to get the rating', 'unable to get the user rating']"
246,,,"['unable to get the rating', 'unable to get the user rating']"
247,,,"['unable to get the rating', 'unable to get the user rating']"
248,,,"['unable to get the rating', 'unable to get the user rating']"
249,,,"['unable to get the rating', 'unable to get the user rating']"
250,4.5,-,[]
251,NR,,['unable to get the user rating']
252,,,"['unable to get the rating', 'unable to get the user rating']"
253,7.7,-,[]
254,,,"['unable to get the rating', 'unable to get the user rating']"
255,,,"['unable to get the rating', 'unable to get the user rating']"
256,4.5,7.3,[]
257,NR,-,[]
258,NR,-,[]
259,NR,,['unable to get the user rating']
260,4,7.2,[]
261,,,"['unable to get the rating', 'unable to get the user rating']"
262,,,"['unable to get the rating', 'unable to get the user rating']"
263,,,"['unable to get the rating', 'unable to get the user rating']"
264,,,"['unable to get the rating', 'unable to get the user rating']"
265,,,"['unable to get the rating', 'unable to get the user rating']"
266,,,"['unable to get the rating', 'unable to get the user rating']"
267,NR,-,[]
268,,,"['unable to get the rating', 'unable to get the user rating']"
269,,,"['unable to get the rating', 'unable to get the user rating']"
270,NR,-,[]
271,,,"['unable to get the rating', 'unable to get the user rating']"
272,NR,-,[]
273,,,"['unable to get the rating', 'unable to get the user rating']"
274,,,"['unable to get the rating', 'unable to get the user rating']"
275,,,"['unable to get the rating', 'unable to get the user rating']"
276,,,"['unable to get the rating', 'unable to get the user rating']"
277,,,"['unable to get the rating', 'unable to get the user rating']"
278,,,"['unable to get the rating', 'unable to get the user rating']"
279,,,"['unable to get the rating', 'unable to get the user rating']"
280,NR,-,[]
281,NR,,['unable to get the user rating']
282,NR,,['unable to get the user rating']
283,NR,-,[]
284,,,"['unable to get the rating', 'unable to get the user rating']"
285,NR,-,[]
286,NR,-,[]
287,6.5,-,[]
288,6.5,5,[]
289,,,"['unable to get the rating', 'unable to get the user rating']"
290,NR,8,[]
291,,,"['unable to get the rating', 'unable to get the user rating']"
292,,,"['unable to get the rating', 'unable to get the user rating']"
293,,,"['unable to get the rating', 'unable to get the user rating']"
294,,,"['unable to get the rating', 'unable to get the user rating']"
295,NR,,['unable to get the user rating']
